category,status,mls_number,price,listing_class,property_type,address,city,zip,area,bedrooms,full_baths,half_baths,hoa_monthly
withdrawn,WITHDRAWN,2507999,"$499,900",CONDO/TOWNHOUSE,Condo,2180 Waterview Dr.,North Myrtle Beach,29582,10C North Myrtle Beach Area--Barefoot Resort,3,2,0,"$1,240"
withdrawn,WITHDRAWN,2506942,"$499,990",RESIDENTIAL,Detached,2245 Hazel Way,Longs,29568,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,3,2,1,$347
withdrawn,WITHDRAWN,2601550,"$500,000",RESIDENTIAL,Detached,816 Turtle Dove Path,Myrtle Beach,29577,16G Myrtle Beach Area--Southern Limit to 10TH Ave N,3,2,0,$86
withdrawn,WITHDRAWN,2525875,"$519,900",RESIDENTIAL,Detached,227 Kessinger Dr.,Surfside Beach,29575,28A Surfside Area--Surfside Triangle 544 to Glenns Bay,4,2,0,$110
withdrawn,WITHDRAWN,2514068,"$520,000",COMMERCIAL/INDUSTRIAL,Business,403 Broadway St.,Myrtle Beach,29577,16G Myrtle Beach Area--Southern Limit to 10TH Ave N,,,,
withdrawn,WITHDRAWN,2602341,"$525,000",CONDO/TOWNHOUSE,Condo,9820 Queensway Blvd.,Myrtle Beach,29572,16B Myrtle Beach Area--Arcadian,3,3,0,"$1,304"
withdrawn,WITHDRAWN,2603805,"$529,000",RESIDENTIAL,Detached,5558 Plantersville Pl.,Myrtle Beach,29579,10B Myrtle Beach Area--Carolina Forest,3,2,0,$100
withdrawn,WITHDRAWN,2526153,"$530,000",CONDO/TOWNHOUSE,Condo,2701 S Ocean Blvd.,North Myrtle Beach,29582,11C North Myrtle Beach Area--Crescent Beach,3,3,0,$768
withdrawn,WITHDRAWN,2602053,"$539,900",RESIDENTIAL,Detached,2034 Comradery Way,Murrells Inlet,29576,27B Murrells Inlet - Horry County,3,2,0,$99
withdrawn,WITHDRAWN,2503778,"$548,705",RESIDENTIAL,Detached,7000 Denim Loop,Myrtle Beach,29579,10B Myrtle Beach Area--Carolina Forest,3,2,0,$110
withdrawn,WITHDRAWN,2529394,"$549,000",COMMERCIAL/INDUSTRIAL,Business,3390 E Hwy 9,Loris,29569,07A Loris to Longs Area--South of 9 between Loris & Longs,,,,
