category,mls_number,price,property_type,address,city,zip,bedrooms,full_baths,half_baths,hoa_monthly
withdrawn,1920512,"$16,000",Manufactured Leased Land,233 Williamson Lake Circle,Conway,29526,2,2,0,$0
withdrawn,1215662,"$16,000",Condo,801 Burcale Rd.,Myrtle Beach,29579,1,1,0,$137
withdrawn,2107937,"$16,000",Retail,3607 Highway 17 South,North Myrtle Beach,29582,,,,
withdrawn,2021680,"$16,200",Farm,Lot 6 Hardwick Rd.,Nichols,29581,,,,
withdrawn,1705960,"$16,500",Residential Lot,9509 S Highway 905,Longs,29568,,,,
withdrawn,1510424,"$16,500",Boat Slip - Sale,4396 Baldwin Ave.,North Myrtle Beach,29582,,,,
withdrawn,1207824,"$16,500",Residential Lot,308 Glenridge Dr.,Little River,29566,,,,
withdrawn,2223859,"$16,685",Retail,9636 North Kings Hwy.,Myrtle Beach,29572,,,,
withdrawn,1303337,"$16,900",Manufactured Leased Land,2008 Highway 15,Myrtle Beach,29577,2,1,0,$0
withdrawn,1216120,"$16,900",Residential Lot,Lot 59 St. Julian Ln.,Myrtle Beach,29579,,,,
withdrawn,1211050,"$16,900",Residential Lot,lot 347 Fiddleway Way,Myrtle Beach,29579,,,,
withdrawn,1500763,"$16,900",Residential Lot,Lot 11 Old Tram Rd.,Little River,29566,,,,
withdrawn,1500762,"$16,900",Residential Lot,Lot 18 Old Tram Rd.,Little River,29566,,,,
withdrawn,1011944,"$16,900",Residential Lot,775 Redmond Ct.,Conway,29526,,,,
withdrawn,1011946,"$16,900",Residential Lot,795 Redmond Ct.,Conway,29526,,,,
withdrawn,1210605,"$16,900",Residential Lot,Lot 25 Tiger Grand Dr.,Conway,29526,,,,
withdrawn,1116713,"$16,900",Residential Lot,1400 Tiger Grand Dr.,Conway,29526,,,,
withdrawn,1105793,"$16,900",Residential Lot,LOT 175 West Palms Dr.,Myrtle Beach,29579,,,,
withdrawn,1113751,"$16,900",Manufactured Leased Land,306 6th Ave. S,Myrtle Beach,29572,2,1,0,$330
withdrawn,914904,"$16,900",Manufactured Leased Land,7587 Lacey Dr.,Myrtle Beach,29588,2,1,0,
withdrawn,1011945,"$16,900",Residential Lot,791 Redmond Ct.,Conway,29526,,,,
withdrawn,2115078,"$16,900",Acreage,2300 Mount Olive Church Rd.,Nichols,29581,,,,
withdrawn,2115077,"$16,900",Acreage,2304 Mount Olive Church Rd.,Nichols,29581,,,,
withdrawn,1020560,"$16,900",Residential Lot,TBD Martin St.,Loris,29569,,,,
withdrawn,914892,"$16,900",Residential Lot,Lot 3 Church St.,Loris,29569,,,,
withdrawn,1502811,"$16,999",Residential Lot,TBD Cotton Grass Dr.,Longs,29568,,,,
withdrawn,900673,"$17,000",Manufactured Lot,Lot 121 Daisy Ln.,Conway,29526,,,,
withdrawn,1210397,"$17,000",Residential Lot,1024 McCall Loop,Conway,29526,,,,
withdrawn,1605957,"$17,000",Residential Lot,Sellers Rd.,Conway,29526,,,,
withdrawn,1210302,"$17,000",Residential Lot,1049 McCall Loop,Conway,29526,,,,
withdrawn,1210403,"$17,000",Residential Lot,1037 McCall Loop,Conway,29526,,,,
withdrawn,1210401,"$17,000",Residential Lot,1013 McCall Loop,Conway,29526,,,,
withdrawn,1210399,"$17,000",Residential Lot,1005 McCall Loop,Conway,29526,,,,
withdrawn,1210398,"$17,000",Residential Lot,1001 McCall Loop,Conway,29526,,,,
withdrawn,1507045,"$17,000",Residential Lot,Lot 101 Hamilton Way,Conway,29526,,,,
withdrawn,1103636,"$17,000",Acreage,1.55 acres on Jasmine Rd.,Loris,29569,,,,
withdrawn,1103638,"$17,000",Acreage,11.9 acres on Jasmine Rd.,Loris,29569,,,,
withdrawn,1302762,"$17,000",Acreage,Tract B Tallwoods Preserve,Longs,29568,,,,
withdrawn,1415500,"$17,000",Manufactured Lot,Lot B3 Colorado Ranch Rd.,Loris,29569,,,,
withdrawn,1310858,"$17,000",Residential Lot,707 32 Ave S 32nd Ave. N,Atlantic Beach,29582,,,,
withdrawn,1516811,"$17,000",Manufactured Lot,Lot 33 A Lake Swamp Rd.,Nichols,29581,,,,
withdrawn,1616821,"$17,000",Manufactured Lot,4014 Cordoba Dr.,Conway,29526,,,,
withdrawn,1911237,"$17,000",Residential Lot,TBD Black Creek Rd.,Nichols,29581,,,,
