Address,Area,City,Class,Keyword1,Keyword2,Keyword3,StatusID,SystemPrice,Type,Zip,_DisplayId,_ID,display_id,int2_3,Category
1087 Redi Mix Rd.,04A Little River Area--South of Hwy 9,Little River,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29566,1319504,1319504:0,1319504,,WITHDRAWN
100 Sutter Dr.,28A Surfside Area--Surfside Triangle 544 to Glenns Bay,Surfside Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29575,2314226,2314226:0,2314226,,WITHDRAWN
2325 Old Sanders Dr.,04A Little River Area--South of Hwy 9,Little River,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Industrial,29566,1816076,1816076:0,1816076,,WITHDRAWN
1203 Highway 501,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,Conway,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Retail,29526,1924378,1924378:0,1924378,,WITHDRAWN
4390 Spa Dr.,04B Little River Area--North of Hwy 9,Little River,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29566,1211398,1211398:0,1211398,,WITHDRAWN
9708 N Kings Hwy.,16B Myrtle Beach Area--Arcadian,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,450,Office,29572,2200964,2200964:0,2200964,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,460,Office,29577,2009873,2009873:0,2009873,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,460,Office,29577,1819266,1819266:0,1819266,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,465,Office,29577,1714589,1714589:0,1714589,,WITHDRAWN
1087 REDI MIX RD.,04B Little River Area--North of Hwy 9,Little River,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,475,Office,29566,814812,814812:0,814812,,WITHDRAWN
11772 Highway 17 Bypass,27B Murrells Inlet - Horry County,Murrells Inlet,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,475,Commercial - Do Not Use,29576,1217290,1217290:0,1217290,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,480,Office,29577,1824736,1824736:0,1824736,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,485,Office,29577,2126210,2126210:0,2126210,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,485,Office,29577,1904704,1904704:0,1904704,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,485,Office,29577,1904699,1904699:0,1904699,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,495,Office,29577,2214415,2214415:0,2214415,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,495,Office,29577,2507058,2507058:0,2507058,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,495,Office,29577,1924083,1924083:0,1924083,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,495,Office,29577,1910906,1910906:0,1910906,,WITHDRAWN
7400 N Kings Hwy.,16C Myrtle Beach Area--79th Ave N to Dunes Cove,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,496,Office,29572,1602787,1602787:0,1602787,,WITHDRAWN
1825 Lone Star St.,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,Conway,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,500,Commercial - Do Not Use,29526,1522352,1522352:0,1522352,,WITHDRAWN
1825 Lone Star St.,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,Conway,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,500,Commercial - Do Not Use,29526,1522336,1522336:0,1522336,,WITHDRAWN
1825 Lone Star St.,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,Conway,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,500,Commercial - Do Not Use,29526,1508374,1508374:0,1508374,,WITHDRAWN
